#[AFISE]Type,ObjectType,[EntityType]KindID,DomainID,CountryID,CategoryID,SubCategoryID,SpecificID,ExtraID,Mil-2525,Range
MISSILE_AIM_9X_HOBS,12,2,1,165,1,1,5,0,MISSILE,0
EMBRAER,1,1,2,99,8,4,0,0,MILITARY_AEW,0
IL76,1,1,2,99,4,3,0,0,MILITARY_CARGO_TANKER,0
C17,1,1,2,99,4,4,0,0,MILITARY_CARGO_TANKER,0
MISSILE_HQ_9B,12,2,1,165,1,4,1,0,MISSILE,0
MI24_HIND_A,12,1,2,99,20,1,1,0,HELICOPTER,0
MISSILE_LY_80_EV,12,2,1,165,1,5,2,0,MISSILE,2
LY_80_DETECTION_CENTER,11,1,1,165,28,6,2,0,DETECTION_CENTER,150
SHELL_120MM,14,2,9,165,2,3,0,0,SHELL,0
SHELL_125MM,14,2,9,165,2,4,0,0,SHELL,0
HQ_9B_FIRE_COMMAND_AND_CONTROL_CENTER,4,1,1,165,28,2,3,1,COMMAND_AND_CONTROL_CENTER,260
HQ_9P_FIRE_COMMAND_AND_CONTROL_CENTER,4,1,1,165,28,2,3,2,COMMAND_AND_CONTROL_CENTER,170
HQ_9B_DETECTION_CENTER,11,1,1,165,28,2,4,1,DETECTION_CENTER,400
HQ_9P_DETECTION_CENTER,11,1,1,165,28,2,4,2,DETECTION_CENTER,350
DEFAULT_SHELL,14,2,9,165,2,0,0,0,SHELL,0
DrdoRustom,1,1,2,99,50,4,0,0,UAV,0
DEFAULT_CULTURAL_FEATURE_LAND,8,5,1,0,0,0,0,0,CULTURAL_FEATURE,0
DEFAULT_CULTURAL_FEATURE_AIR,8,5,2,0,0,0,0,0,CULTURAL_FEATURE,0
SHELL_203MM,14,2,9,99,2,4,0,0,SHELL,0
SHELL_155MM,14,2,9,99,2,3,0,0,SHELL,0
SHELL_125MM,14,2,9,99,2,2,0,0,SHELL,0
SHELL_120MM,14,2,9,99,2,1,0,0,SHELL,0
LY_80_EV_MUNITION_LAUNCHER,17,1,1,165,28,7,3,0,MUNITION_LAUNCHER,2
LY_80_MUNITION_LAUNCHER,17,1,1,165,28,6,3,0,MUNITION_LAUNCHER,2
LY_80_EV_DETECTION_CENTER,11,1,1,165,28,7,2,0,DETECTION_CENTER,150
HQ_9B_MUNITION_LAUNCHER,17,1,1,165,28,2,2,1,MUNITION_LAUNCHER,3
GENERAL_VEHICLES_TOYOTA_LANDCRUISER_PRADO,4,1,1,165,81,114,2,0,GENERAL_VEHICLES,0
