#DIS Enumerations
#Author,Iqra Khan
#Created DateTime,28/11/2024 3:57:36 pm
#Comments,Added new missiles; Rudram 1, Rudram 2, Rudram 3
#
#[AFISE]Type,Name,Code,HexValue,[EntityType]KindID,KindDesc,DomainID,DomainDesc,CountryID,CountryDesc,CategoryID,CategoryDesc,SubCategoryID,SubCategoryDesc,SpecificID,SpecificDesc,ExtraID,ExtraDesc,[AlternateEntityType]KindID,KindDesc,DomainID,DomainDesc,CountryID,CountryDesc,CategoryID,CategoryDesc,SubCategoryID,SubCategoryDesc,SpecificID,SpecificDesc,ExtraID,ExtraDesc,Description,RCS
#Start
DrdoAura,DRDO Aura UAV,7506,0x1D52,1,Platform,2,Air,99,India,50,Unmanned,3,Drdo-AURA,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0.5
MISSILE_HQ_9P,HQ-9P,1004,0x3EC,2,Munition,1,Anti Air,165,Pakistan,1,Guided,4,HQ-9 SAM,2,HQ-9P,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0.5
AAIRQ7Shadow,AAIRQ Shadow UAV,7511,0x1D57,1,Platform,2,Air,225,United States,50,Unmanned,8,RQ-7 Shadow UAV,1,RQ-7A,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0.5
RQ170Sentinel,RQ 170 Sentinel UAV,7512,0x1D58,1,Platform,2,Air,225,United States,50,Unmanned,37,RQ-170 Sentinel,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,1
MPDR_45_RADAR,MPDR 45,5001,0x1389,9,Sensor/Emitter,1,Land,165,Pakistan,2,RF Active,2,Early Warning / Surveillance Radar,1,MPDR-45,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
MPDR_60_RADAR,MPDR 60,5002,0x138A,9,Sensor/Emitter,1,Land,165,Pakistan,2,RF Active,2,Early Warning / Surveillance Radar,2,MPDR-60,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
MPDR_90_RADAR,MPDR 90,5003,0x138B,9,Sensor/Emitter,1,Land,165,Pakistan,2,RF Active,2,Early Warning / Surveillance Radar,3,MPDR-90,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
TPS_43G_RADAR,TPS 43G,5004,0x138C,9,Sensor/Emitter,1,Land,165,Pakistan,2,RF Active,2,Early Warning / Surveillance Radar,4,TPS-43G,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
YLC_II_RADAR,YLC II,5006,0x138E,9,Sensor/Emitter,1,Land,165,Pakistan,2,RF Active,2,Early Warning / Surveillance Radar,5,YLC-2,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
YLC_6_RADAR,YLC 6,5007,0x138F,9,Sensor/Emitter,1,Land,165,Pakistan,2,RF Active,2,Early Warning / Surveillance Radar,6,YLC-6,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
TPS_77_RADAR,TPS 77,5005,0x138D,9,Sensor/Emitter,1,Land,165,Pakistan,2,RF Active,2,Early Warning / Surveillance Radar,7,TPS-77,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
ATCR_RADAR,ATCR,5008,0x1390,9,Sensor/Emitter,1,Land,165,Pakistan,2,RF Active,2,Early Warning / Surveillance Radar,8,ATCR,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
SPADA_DETECTION_CENTER,SPADA Detection Center,5501,0x157D,1,Platform,1,Land,165,Pakistan,28,Air Defense / Missile Defense Unit Equipment,1,SPADA SAM System,1,Detection Center,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
SPADA_FIRE_CONTROL_CENTER,SPADA Fire Control Center,5601,0x15E1,1,Platform,1,Land,165,Pakistan,28,Air Defense / Missile Defense Unit Equipment,1,SPADA SAM System,2,Spada Friring Section,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
SPADA_MUNITION_LAUNCHER,SPADA Munition Launcher,5701,0x1645,1,Platform,1,Land,165,Pakistan,28,Air Defense / Missile Defense Unit Equipment,1,SPADA SAM System,2,Spada Friring Section,1,6-Round Missile Launcher,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
VEHICLE_SUZUKI_MEHRAN,Suzuki Mehran,4031,0xFBF,1,Platform,1,Land,165,Pakistan,81,Car,41,4-Door Sedan{:} Mini/Microcar (Tiny),1,Suzuki Mehran,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
VEHICLE_TOYOTA_GLI,Toyota Corolla GLI,4014,0xFAE,1,Platform,1,Land,165,Pakistan,81,Car,43,4-Door Sedan{:} Intermediate/Standard (Medium),1,Toyota Gli,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
VEHICLE_TOYOTA_ALTIS,Toyota Corolla Altis,4013,0xFAD,1,Platform,1,Land,165,Pakistan,81,Car,43,4-Door Sedan{:} Intermediate/Standard (Medium),2,Toyota Altis,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
VEHICLE_TOYOTA_XLI,Toyota Corolla XLI,4015,0xFAF,1,Platform,1,Land,165,Pakistan,81,Car,43,4-Door Sedan{:} Intermediate/Standard (Medium),3,Toyota Xli,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
VEHICLE_HONDA_CIVIC,Honda Civic,4023,0xFB7,1,Platform,1,Land,165,Pakistan,81,Car,43,4-Door Sedan{:} Intermediate/Standard (Medium),4,Honda Civic,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
VEHICLE_HONDA_CITY,Honda City,4024,0xFB8,1,Platform,1,Land,165,Pakistan,81,Car,43,4-Door Sedan{:} Intermediate/Standard (Medium),5,Honda City,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
VEHICLE_HONDA_ACCORD,Honda Accord,4046,0xFCE,1,Platform,1,Land,165,Pakistan,81,Car,43,4-Door Sedan{:} Intermediate/Standard (Medium),6,Honda Accord,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
VEHICLE_SUZUKI_LIANA,Suzuki Liana,4025,0xFB9,1,Platform,1,Land,165,Pakistan,81,Car,43,4-Door Sedan{:} Intermediate/Standard (Medium),7,Suzuki Liana,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
VEHICLE_SUZUKI_BALENO,Suzuki Baleno,4026,0xFBA,1,Platform,1,Land,165,Pakistan,81,Car,43,4-Door Sedan{:} Intermediate/Standard (Medium),8,Suzuki Baleno,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
VEHICLE_BMW_7_SERIES,BMW 7 Series,4047,0xFCF,1,Platform,1,Land,165,Pakistan,81,Car,44,4-Door Sedan{:} Full/Premium/Luxury (Large),1,BMW 7 Series,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
VEHICLE_SUZUKI_SWIFT,Suzuki Swift,4027,0xFBB,1,Platform,1,Land,165,Pakistan,81,Car,52,5-Door Hatchback{:} Economy/Compact (Small),1,Suzuki Swift,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
VEHICLE_SUZUKI_CULTUS,Suzuki Cultus,4028,0xFBC,1,Platform,1,Land,165,Pakistan,81,Car,52,5-Door Hatchback{:} Economy/Compact (Small),2,Suzuki Cultus,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
VEHICLE_SUZUKI_WAGON_R,Suzuki Wagon R,4029,0xFBD,1,Platform,1,Land,165,Pakistan,81,Car,52,5-Door Hatchback{:} Economy/Compact (Small),3,Suzuki WagonR,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
VEHICLE_SUZUKI_ALTO,Suzuki Alto,4030,0xFBE,1,Platform,1,Land,165,Pakistan,81,Car,52,5-Door Hatchback{:} Economy/Compact (Small),4,Suzuki Alto,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
VEHICLE_SINGLE_CABIN,Single Cabin,4005,0xFA5,1,Platform,1,Land,165,Pakistan,81,Car,112,Sports Utility Vehicle (SUV){:} Economy/Compact (Small),1,Single Cabin,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
VEHICLE_TOYOTA_LANDCRUISER_3_DOOR,Toyota Land Cruiser 3 Door,4019,0xFB3,1,Platform,1,Land,165,Pakistan,81,Car,112,Sports Utility Vehicle (SUV){:} Economy/Compact (Small),2,Toyota Land cruiser 3 Door,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
VEHICLE_SUZUKI_POTOHAR,Suzuki Potohar,4032,0xFC0,1,Platform,1,Land,165,Pakistan,81,Car,112,Sports Utility Vehicle (SUV){:} Economy/Compact (Small),3,Suzuki Potohar,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
VEHICLE_JEEP,Jeep,4040,0xFC8,1,Platform,1,Land,165,Pakistan,81,Car,112,Sports Utility Vehicle (SUV){:} Economy/Compact (Small),4,Jeep,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
VEHICLE_DOUBLE_CABIN,Double Cabin,4006,0xFA6,1,Platform,1,Land,165,Pakistan,81,Car,113,Sports Utility Vehicle (SUV){:} Intermediate/Standard (Medium),1,Double Cabin,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
VEHICLE_TOYOTA_SURF,Toyota Surf,4016,0xFB0,1,Platform,1,Land,165,Pakistan,81,Car,113,Sports Utility Vehicle (SUV){:} Intermediate/Standard (Medium),2,Toyota Surf,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
VEHICLE_TOYOTA_Revo,Toyota Revo,4022,0xFB6,1,Platform,1,Land,165,Pakistan,81,Car,113,Sports Utility Vehicle (SUV){:} Intermediate/Standard (Medium),3,Toyota Revo,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
VEHICLE_BMW_X5,BMW X5,4048,0xFD0,1,Platform,1,Land,165,Pakistan,81,Car,113,Sports Utility Vehicle (SUV){:} Intermediate/Standard (Medium),4,BMW X5,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0
SHELL_155MM,155mm Shell,1803,0x70B,2,Munition,9,Battlefield Support,165,Pakistan,2,Ballistic,5,155 mm,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0.01
